"full_address","longitude","latitude"
"621/74 Northbourne Avenue, Braddon, ACT 2612",149.1305026,-35.275523
"45 Devenish Street, Taylor, ACT 2913",149.1099161,-35.1783044
"385/1 Anthony Rolfe Avenue, Gungahlin, ACT 2912",149.1299195,-35.181994
"158/46 Macquarie Street, Barton, ACT 2600",149.1363888,-35.3061636
"104/55 The Causeway, Kingston, ACT 2604",149.1503228,-35.3131173
"36/44 Macquarie Street, Barton, ACT 2600",149.1357612,-35.3070386
"18/27 Coxen Street, Hughes, ACT 2605",149.0924873,-35.3352042
"45 Gilbert Street, Hackett, ACT 2602",149.1622861,-35.245688
"The Chandler Chandler Street, Belconnen, ACT 2617",149.0710253,-35.242222
"505/8 Gribble Street, Gungahlin, ACT 2912",149.1311605,-35.182482
"112/11 Trevillian Quay, Kingston, ACT 2604",149.1466118,-35.3108977
"12/34 Dooring Street, Dickson, ACT 2602",149.1346346,-35.2603741
"10/11 Trevillian Quay, Kingston, ACT 2604",149.1466118,-35.3108977
"37 Spowers Circuit, Holder, ACT 2611",149.0411176,-35.3374965
"2705/1 Grazier Lane, Belconnen, ACT 2617",149.0720674,-35.2402237
"921 Unit 281, Greenway, ACT 2900",149.0668705,-35.4170279
"426/1 Eloura, Braddon, ACT 2612",149.1308463,-35.2728896
"2207/15 Bowes Street, Phillip, ACT 2606",149.0868669,-35.3441316
"52 Pademelon Street, Throsby, ACT 2914",149.1589308,-35.1846155
"272/1 Anthony Rolfe Avenue, Gungahlin, ACT 2912",149.1299195,-35.181994
"4 Bondfield Street, Gungahlin, ACT 2912",149.1376122,-35.179358
"28 Catalano Street, Wright, ACT 2611",149.0335986,-35.32064
"23/6 Heard Street, Mawson, ACT 2607",149.0959229,-35.3666424
"4/4 Freebury St, Denman Prospect, ACT 2611",149.0244533,-35.301001
"309/81 Cooyong Street, Reid, ACT 2612",149.136225,-35.2796237
"12/45 Wentworth Avenue, Kingston, ACT 2604",149.1454995,-35.3155901
"36 Isbister Street, MacGregor, ACT 2615",149.0008927,-35.2057834
"1007/25 Edinburgh Avenue, City, ACT 2601",149.1225765,-35.2849101
"1301/25 Edinburgh Avenue, Acton, ACT 2601",149.1225939,-35.284914
"143/8 Jardine Street, Kingston, ACT 2604",149.1409456,-35.3142158
"130/10 Ipima Street, Braddon, ACT 2612",149.1318931,-35.2667887
"131/1 Braybrooke Street, Bruce, ACT 2617",149.0977578,-35.2460607
"31 Founders Lane, Braddon, ACT 2612",149.1357891,-35.2769673
"110/7 Irving Street, Phillip, ACT 2606",149.0845284,-35.3388475
"911/120 Eastern Valley Way, Belconnen, ACT 2617",149.0735953,-35.240714
"1/45 Eggleston Crescent, Chifley, ACT 2606",149.0754335,-35.3512564
"55/101 Hennessy Street, Belconnen, ACT 2617",149.0709054,-35.2463228
"1011/19 Marcus Clarke Street, Acton, ACT 2601",149.1248959,-35.2851644
"9/17 Bowman Street, Macquarie, ACT 2614",149.0692466,-35.25296
"17/41 Blackall Street, Barton, ACT 2600",149.1374041,-35.3064279
"108/19 State Circle, Forrest, ACT 2603",149.122581,-35.3123856
"233 Antill Street, Watson, ACT 2602",149.1575304,-35.2454377
"G07/1 Boolee Street, Reid, ACT 2612",149.1368497,-35.2808648
"81/39 Benjamin Way, Belconnen, ACT 2617",149.0678111,-35.2393022
"27/58 Lowanna Street, Braddon, ACT 2612",149.1339949,-35.2614097
"1607/2 Marcus Clarke Street, City, ACT 2601",149.125988,-35.284707
"59/10 Ipima Street, Braddon, ACT 2612",149.1318931,-35.2667887
"4 Keith Bain Crest, Whitlam, ACT 2611",149.0449171,-35.2724576
"1204/240 Bunda Street, City, ACT 2601",149.134405,-35.2816321
"2105/3 Grazier Lane, Belconnen, ACT 2617",149.0713978,-35.2402235
"10 Barramundi Street, Throsby, ACT 2914",149.1664902,-35.1947653
"303/13-15 Challis St, Dickson, ACT 2602",149.1345596,-35.2502148
"14 Hilda Kincaid Crescent, MacGregor, ACT 2615",149.0031594,-35.2037084
"8/14-16 Discovery Street, Red Hill, ACT 2603",149.1342592,-35.3407782
"134/10 Ipima Street, Braddon, ACT 2612",149.1318931,-35.2667887
"37/35 Oakden Street, Greenway, ACT 2900",149.0732858,-35.4216609
"53/162 Flemington Road, Harrison, ACT 2914",149.1494976,-35.2015522
"40/5 Burnie Street, Lyons, ACT 2606",149.0810828,-35.3404412
"84/179 Melrose Drive, Lyons, ACT 2606",149.0824666,-35.3464403
"718/240 Bunda Street, City, ACT 2601",149.134405,-35.2816321
"10/16 Eyre Street, Griffith, ACT 2603",149.1405892,-35.3184351
"71 Wilshire Street, Dickson, ACT 2602",149.1399582,-35.253902
"147/395 Antill Street, Watson, ACT 2602",149.1661588,-35.227405
"44/46 Paul Coe Crescent, Ngunnawal, ACT 2913",149.1187512,-35.1783551
"817/17 Dooring Street, Braddon, ACT 2612",149.1339014,-35.2611514
"16 Karrugang Circuit, Ngunnawal, ACT 2913",149.1007003,-35.1705962
"64 Mapleton Avenue, Harrison, ACT 2914",149.1557678,-35.1944763
